beef_roast,roast_beef
rye,rye_whiskey
chile,chilli
french_dressing,vinaigrette
sprout,stock
cheddar,cheddar_cheese
jerusalem_artichokes,sunchoke
ocean_perch,redfish
chickpea,garbanzo
artichoke,globe_artichoke
gray_sole,grey_sole
chicken,poulet
brittle,toffee
anise_seed,aniseed
ascorbic_acid,vitamin_c
pimiento,sweet_pepper
cilantro,coriander
cut,prune
ham,jambon
oyster_plant,salsify
cayenne,cayenne_pepper
oxalis,sorrel
dressing,stuffing
snap,snap_bean
carambola,star_fruit
aubergine,eggplant
endive,escarole
finnan_haddie,smoked_haddock
dessert,sweet
bream,sea_bream
flavoring,flavouring
coriander,coriander_seed
bean_curd,tofu
coconut_milk,coconut_water
chicken_broth,chicken_stock
cumin,cumin_seed
litchi,lychee
dark_bread,whole_wheat_bread
soya,soya_bean
courgette,zucchini
gammon,ham
egg_white,white
beef_broth,beef_stock
vanilla,vanilla_extract
bleu,blue_cheese
tea,tea_leaf
hare,rabbit
prawn,shrimp
malt_whiskey,scotch
escargot,snail
frankfurter,hot_dog
pepper_sauce,poivrade
papaya,pawpaw
gouda,gouda_cheese
port,port_wine
egg_roll,spring_roll
coconut_cream,coconut_milk
cayenne_pepper,red_pepper
calamari,squid
maraschino,maraschino_cherries
burgundy,burgundy_wine
black_pudding,blood_sausage
rock_lobster,spiny_lobster
bird,fowl
american_cheese,cheddar
food_coloring,food_colouring
pepper,peppercorn
self-raising_flour,self-rising_flour
wheat,wheat_berry
bass,sea_bass
filbert,hazelnut
rock,rock_candy
soya_bean,soybean
mangel-wurzel,mangold
haricot_vert,haricots_verts
seville_oranges,sour_orange
salmon_trout,sea_trout
grey_mullet,mullet
greengage,greengage_plum
lollipop,popsicle
rutabaga,swede
brown_bread,dark_bread
muscat,muscat_grape
black_bean,turtle_bean
biscuit,cooky
oatmeal,rolled_oats
pistachio,pistachio_nut
cob,filbert
lasagna,lasagne
bell_pepper,paprika
soda,soda_water
golden_syrup,treacle
marjoram,oregano
canola,canola_oil
heart,spirit
navy_bean,white_bean
green_onion,scallion
rockfish,striped_bass
pop,soda
arugula,rocket
celeriac,celery_root
soy,soy_sauce
worcester_sauce,worcestershire_sauce
marrow,vegetable_marrow
french_endive,witloof
beef,boeuf
flavouring,seasoning
sour_cream,soured_cream
anise,anise_seed
licorice,liquorice
fish fillet,fillet
bitter_orange,seville_oranges
scallion,spring_onion
cos_lettuce,romaine
beet,beetroot
belgian_endive,french_endive
periwinkle,winkle
yoghurt,yogurt
milk_powder,powdered_milk
chip,potato_chip
caster_sugar,castor_sugar
wax_bean,yellow_bean
sorrel,wood_sorrel
crab,crabmeat
catsup,tomato_ketchup
filet,fillet
light_cream,single_cream
bulghur,bulgur
chocolate,cocoa
cereal,grain
butter_bean,lima_bean
broad_bean,fava_bean
hard-boiled_egg,hard-cooked_egg
lemon_grass,lemongrass
pollack,pollock
mouton,mutton
cracker,snapper
paprika,pimento
brown_trout,salmon_trout
whiskey,whisky
club_soda,seltzer
candied_fruit,crystallized_fruit
cake,patty
turnip,white_turnip
groundnut_oil,peanut_oil
dill,dill_weed
irish,irish_whiskey
shin,shin_bone
soda_water,sparkling_water
broth,stock
snap_pea,sugar_snap_pea
seltzer,soda_water
apple_sauce,applesauce
french_beans,haricot_vert
black-eyed_pea,cowpea
new_york_strip,strip_steak
strawberry_jam,strawberry_preserves
clove,stick
pie_crust,pie_shell
cashew,cashew_nut
hot_dog,wiener
cottage_cheese,farmer's_cheese
chicory,curly_endive
flageolet,haricot
leek,scallion
scotch_whiskey,scotch_whisky
fenugreek,fenugreek_seed
oil,vegetable_oil
dried_milk,milk_powder
mustard,mustard_greens
cardamom,cardamon
gelatin,jelly
pimento,pimiento
romaine,romaine_lettuce
cabbage,chou
chard,swiss_chard
black_bread,pumpernickel
matzo_meal,matzoh_meal
key_lime,key_limes
crawfish,crayfish
bordeaux,bordeaux_wine
crayfish,rock_lobster
scotch,scotch_whiskey
pork_roast,roast_pork
